,PID,LEGAL_TYPE,FOLIO,LAND_COORDINATE,ZONE_NAME,ZONE_CATEGORY,LOT,BLOCK,PLAN,DISTRICT_LOT,FROM_CIVIC_NUMBER,TO_CIVIC_NUMBER,STREET_NAME,PROPERTY_POSTAL_CODE,NARRATIVE_LEGAL_LINE1,NARRATIVE_LEGAL_LINE2,NARRATIVE_LEGAL_LINE3,NARRATIVE_LEGAL_LINE4,NARRATIVE_LEGAL_LINE5,CURRENT_LAND_VALUE,CURRENT_IMPROVEMENT_VALUE,TAX_ASSESSMENT_YEAR,PREVIOUS_LAND_VALUE,PREVIOUS_IMPROVEMENT_VALUE,YEAR_BUILT,BIG_IMPROVEMENT_YEAR,TAX_LEVY,NEIGHBOURHOOD_CODE
130271,013-193-911,LAND,822184600000,82218460,RS-1,One Family Dwelling,27,4,VAP3065,322,,134.0,63RD AVE E,V5X 2J6,LOT 27  BLOCK 4  PLAN VAP3065  DIST,RICT LOT 322  NWD OF LOT 5.,,,,1631000.0,80100.0,2018.0,1623000.0,83700.0,1965.0,1970.0,,17
3432,014-371-979,LAND,313700380000,31370038,RS-1,One Family Dwelling,21,A,VAP1722,THSL,,3860.0,GLENDALE ST,V5R 1C5,LOT 21  BLOCK A  SECTION 51  PLAN V,AP1722  DISTRICT LOT THSL  NWD PART," NE 1/4, GROUP 1, OF LOT 1.",,,1691000.0,439000.0,2018.0,1653000.0,448000.0,1990.0,1990.0,,22
132430,023-626-135,STRATA,190691960005,19069196,C-2,Commercial,5,,LMS2630,301,205,3368.0,MAIN ST,V5V 3M7,LOT 5  PLAN LMS2630  DISTRICT LOT 3,"01  NWD GROUP 1, & DL 302, TOGETHER", WITH AN INTEREST IN THE COMMON PRO,PERTY IN PROPORTION TO THE UNIT ENT,ITLEMENT OF THE STRATA LOT AS SHOWN,538000.0,128000.0,2018.0,383000.0,130000.0,1996.0,1996.0,,15
61118,012-099-953,LAND,32747740000,3274774,RS-5,One Family Dwelling,15,2,VAP2442,320,,5662.0,CROWN ST,V6N 2B5,LOT 15  BLOCK 2  PLAN VAP2442  DIST,RICT LOT 320  NEW WESTMINSTER OF LO,"T A, EXCEPT THE WEST 7 FEET AND THE", EAST 10 FEET NOW HIGHWAYS.,,3485000.0,633000.0,2018.0,3659000.0,652000.0,1948.0,1990.0,,3
37540,025-900-684,STRATA,627092530001,62709253,RT-9,Two Family Dwelling,1,,BCS718,526,,2031.0,CREELMAN AVE,V6J 1C2,LOT 1  PLAN BCS718  DISTRICT LOT 52,6  NWD UNDIV 143/280 SHARE IN COM P,ROP THEREIN TOGETHER WITH AN INTERE,ST IN THE COMMON PROPERTY IN PROPOR,TION TO THE UNIT ENTITLEMENT OF THE,1724000.0,472000.0,2018.0,1842000.0,468000.0,2003.0,2003.0,,2
78539,018-781-942,STRATA,739195350060,73919535,RM-3A,Multiple Family Dwelling,60,,LMS1436,638,419,360.0,36TH AVE E,V5W 4B9,LOT 60  PLAN LMS1436  DISTRICT LOT ,638  NEW WESTMINSTER UNDIV 1087/138,096 SHARE IN COM PROP THEREIN.,,,544000.0,197000.0,2018.0,412000.0,200000.0,1994.0,1994.0,,16
48464,027-990-532,STRATA,172589350159,17258935,CD-1 (450),Comprehensive Development,159,,BCS3528,OGT,2007,128.0,CORDOVA ST W,V6B 0E6,LOT 159  PLAN BCS3528  DISTRICT LOT, OGT  NWD TOGETHER WITH AN INTEREST, IN THE COMMON PROPERTY IN PROPORTI,ON TO THE UNIT ENTITLEMENT OF THE S,"TRATA LOT AS SHOWN ON FORM 1 OR V, ",406000.0,157000.0,2018.0,344000.0,157000.0,2009.0,2009.0,,26
88051,025-554-492,STRATA,616138940146,61613894,CD-1 (366),Comprehensive Development,146,,BCS183,FC,2802,1408.0,STRATHMORE MEWS,V6Z 3A9,LOT 146  PLAN BCS183  DISTRICT LOT ,FC  NWD TOGETHER WITH AN INTEREST I,N THE COMMON PROPERTY IN PROPORTION, TO THE UNIT ENTITLEMENT OF THE STR,"ATA LOT AS SHOWN ON FORM 1 OR V, AS",1141000.0,371000.0,2018.0,1000000.0,373000.0,2002.0,2002.0,,30
143545,006-847-838,LAND,685275860000,68527586,RS-1,One Family Dwelling,14,C,VAP11660,THSL,,2790.0,15TH AVE E,V5M 2K3,LOT 14  BLOCK C  SECTION 44  PLAN V,AP11660  DISTRICT LOT THSL  NEW WES,TMINSTER,,,1320000.0,119000.0,2018.0,1340000.0,124000.0,1978.0,1978.0,,22
23556,025-496-077,STRATA,750246870070,75024687,CD-1 (373),Comprehensive Development,70,,BCS102,707,404,1933.0,41ST AVE E,V5P 4Y4,LOT 70  PLAN BCS102  DISTRICT LOT 7,07  NEW WESTMINSTER UNDIV 77/7736 S,HARE IN COM PROP THEREIN.,,,246000.0,161000.0,2018.0,192000.0,162000.0,2002.0,2002.0,,19
106207,011-689-277,STRATA,642073970001,64207397,RT-8,Two Family Dwelling,1,,VAS2214,526,,2503.0,5TH AVE W,V6K 1S9,LOT 1  PLAN VAS2214  DISTRICT LOT 5,26  NWD UNDIV 1275/2556 SHARE IN CO,M PROP THEREIN TOGETHER WITH AN INT,EREST IN THE COMMON PROPERTY IN PRO,PORTION TO THE UNIT ENTITLEMENT OF ,1279000.0,187000.0,2018.0,1242000.0,195000.0,1988.0,2000.0,,2
162082,018-799-485,STRATA,608120970015,60812097,CD-1 (386),Comprehensive Development,15,,LMS1455,541,505,1050.0,BURRARD ST,V6Z 2S3,LOT 15  PLAN LMS1455  DISTRICT LOT ,541  NEW WESTMINSTER UNDIV 638/1859,09 SHARE IN COM PROP THEREIN.,,,434000.0,236000.0,2018.0,381000.0,227000.0,1994.0,1994.0,,26
85892,005-295-475,LAND,817287310000,81728731,RS-1,One Family Dwelling,28,71,VAP11489,,,3031.0,ROSEMONT DR,V5S 2C8,LOT 28  BLOCK 71  PLAN VAP11489  NW,"D DISTRICT LOT FRASERVIEW, OF LOT G",.,,,1773000.0,72300.0,2018.0,1809000.0,75600.0,1965.0,1965.0,,25
43999,017-287-863,STRATA,630042260001,63004226,RT-8,Two Family Dwelling,1,,LMS11,540,,3458.0,POINT GREY RD,V6R 1A5,LOT 1  PLAN LMS11  DISTRICT LOT 540,  NWD TOGETHER WITH AN INTEREST IN ,THE COMMON PROPERTY IN PROPORTION T,O THE UNIT ENTITLEMENT OF THE STRAT,"A LOT AS SHOWN ON FORM 1 OR V, AS A",1157000.0,401000.0,2018.0,1130000.0,398000.0,1991.0,2010.0,,2
126925,010-949-909,LAND,734237250000,73423725,RS-1,One Family Dwelling,14,2,VAP4197,,,1725.0,35TH AVE E,V5P 1B5,LOT 14  BLOCK 2  PLAN VAP4197  NEW ,"WESTMINSTER DISTRICT LOT 703 W HLF,", LOT 14 EX N 2.5FT.,,,1449000.0,228000.0,2018.0,1487000.0,227000.0,1996.0,1996.0,,19
199497,029-815-690,STRATA,170825960172,17082596,CD-1 (535),Comprehensive Development,172,,EPS3173,311,2404,8131.0,NUNAVUT LANE,V5X 0E2,LOT 172  PLAN EPS3173  DISTRICT LOT," 311  NWD GROUP 1, & DL 323, TOGETH",ER WITH AN INTEREST IN THE COMMON P,ROPERTY IN PROPORTION TO THE UNIT E,NTITLEMENT OF THE STRATA LOT AS SHO,629000.0,269000.0,2018.0,524000.0,269000.0,,,,12
37232,019-084-731,STRATA,285830060180,28583006,CD-1 (247),Comprehensive Development,180,,LMS1685,258,407,8460.0,JELLICOE ST,V5S 4S8,LOT 180  PLAN LMS1685  DISTRICT LOT, 258  NEW WESTMINSTER UNDIV 71/3398, SHARE IN COM PROP THEREIN PHASE 4.,,,380000.0,126000.0,2018.0,274000.0,127000.0,1994.0,1994.0,,18
191289,028-623-258,STRATA,212719070028,21271907,CD-1 (129),Comprehensive Development,28,,EPS465,391,,780.0,29TH AVE E,V5V 0B5,LOT 28  PLAN EPS465  DISTRICT LOT 3,"91  NWD GROUP 1, TOGETHER WITH AN I",NTEREST IN THE COMMON PROPERTY IN P,ROPORTION TO THE UNIT ENTITLEMENT O,F THE STRATA LOT AS SHOWN ON FORM V,966000.0,248000.0,2018.0,938000.0,248000.0,2011.0,2011.0,,16
103770,025-810-979,STRATA,93722350046,9372235,CD-1 (22),Comprehensive Development,46,,BCS615,526,315,4685.0,VALLEY DR,V6J 5M2,LOT 46  PLAN BCS615  DISTRICT LOT 5,26  NEW WESTMINSTER UNDIV 116/14688, SHARE IN COM PROP THEREIN.,,,1192000.0,366000.0,2018.0,1028000.0,367000.0,2003.0,2003.0,,4
180288,029-257-662,STRATA,129614950197,12961495,CD-1 (503),Comprehensive Development,197,,EPS1290,541,3103,1351.0,CONTINENTAL ST,V6Z 0C6,LOT 197  PLAN EPS1290  DISTRICT LOT," 541  NWD GROUP 1, TOGETHER WITH AN", INTEREST IN THE COMMON PROPERTY IN, PROPORTION TO THE UNIT ENTITLEMENT, OF THE STRATA LOT AS SHOWN ON FORM,1081000.0,573000.0,2018.0,982000.0,575000.0,2013.0,2013.0,,29
87417,003-707-806,STRATA,683122980015,68312298,RM-3,Multiple Family Dwelling,15,,VAS208,526,601,1616.0,13TH AVE W,V6J 2G6,LOT 15  PLAN VAS208  DISTRICT LOT 5,26  NEW WESTMINSTER UNDIV 903/27266, SHARE IN COM PROP THEREIN.,,,456000.0,182000.0,2018.0,387000.0,188000.0,1975.0,1975.0,,7
124994,003-980-511,STRATA,636157030020,63615703,FCCDD,Comprehensive Development,20,,VAS419,,,804.0,MILLBANK,V5Z 3Z4,LOT 20  PLAN VAS419  NEW WESTMINSTE,"R DISTRICT LOT FALSE CREEK, UNDIV 1",150/61225 SHARE IN COM PROP THEREIN,.,,964000.0,76700.0,2018.0,855000.0,82700.0,1976.0,1976.0,,7
184504,007-386-001,LAND,600194990000,60019499,RT-3,Two Family Dwelling,F,103,VAP16840,196,,823.0,JACKSON AVE,V6A 3C2,LOT F  BLOCK 103  PLAN VAPVAP16840 , DISTRICT LOT 196  NWD GROUP 1.,,,,1901000.0,10000.0,2018.0,1805000.0,10000.0,1910.0,1910.0,,13
4776,019-143-192,LAND,320650810000,32065081,I-2,Light Industrial,3,,LMP21632,THSL,,2395.0,BOUNDARY RD,V5M 4W5,LOT 3  SECTION 39  PLAN LMP21632  D,ISTRICT LOT THSL  NEW WESTMINSTER R,EF PLN LMP21631 & EXPLAN PLN LMP216,33.,,14237000.0,82000.0,2018.0,10108000.0,2278000.0,1996.0,2005.0,,21
93349,007-681-887,STRATA,124617170035,12461717,BCPED,Comprehensive Development,35,,VAS1886,FC,901,1625.0,HORNBY ST,V6Z 2M2,LOT 35  PLAN VAS1886  DISTRICT LOT ,FC  NEW WESTMINSTER UNDIV 62/4893 S,HARE IN COM PROP THEREIN.,,,650000.0,202000.0,2018.0,468000.0,201000.0,1987.0,1987.0,,30
163356,019-183-101,STRATA,156602080273,15660208,DD,Comprehensive Development,273,,LMS1863,541,2101,838.0,HAMILTON ST,V6B 6A2,LOT 273  PLAN LMS1863  DISTRICT LOT, 541  NEW WESTMINSTER UNDIV 470/127,484 SHARE IN COM PROP THEREIN.,,,72000.0,145000.0,2018.0,22300.0,147000.0,1995.0,1995.0,,29
143116,007-148-089,LAND,701214420000,70121442,RT-10,Two Family Dwelling,G,17,VAP2689,301,,942.0,22ND AVE E,V5V 1V9,LOT G  BLOCK 17  PLAN VAP2689  DIST,RICT LOT 301  NEW WESTMINSTER,,,,1480000.0,131000.0,2018.0,1475000.0,136000.0,1910.0,1977.0,,15
91561,013-624-334,LAND,757190490000,75719049,RS-1,One Family Dwelling,14,2,VAP2583,644,,249.0,44TH AVE E,V5W 1V8,LOT 14  BLOCK 2  PLAN VAP2583  DIST,"RICT LOT 644  NWD GROUP 1, AMD (SEE", 169997L) OF LOT 1.,,,1843000.0,60900.0,2018.0,1894000.0,63600.0,1965.0,1965.0,,16
146821,004-766-105,LAND,217590290000,21759029,RT-3,Two Family Dwelling,C,66,VAP196,181,,425.0,CAMPBELL AVE,V6A 3K4,LOT C  BLOCK 66  PLAN VAP196  DISTR,ICT LOT 181  NWD (REF PL 342) OF LO,TS 21 & 22.,,,1239000.0,389000.0,2018.0,1166000.0,280000.0,1910.0,1950.0,,13
134974,024-997-188,STRATA,690120570001,69012057,RT-5,Two Family Dwelling,1,,LMS4389,526,,1747.0,16TH AVE W,V6J 2L9,LOT 1  PLAN LMS4389  DISTRICT LOT 5,26  NWD UNDIV 217/437 SHARE IN COM ,PROP THEREIN TOGETHER WITH AN INTER,EST IN THE COMMON PROPERTY IN PROPO,RTION TO THE UNIT ENTITLEMENT OF TH,1843000.0,518000.0,2018.0,1452000.0,476000.0,2000.0,2001.0,,7
193064,023-341-815,STRATA,645179560016,64517956,I-1,Light Industrial,16,,LMS2305,200A,304,138.0,6TH AVE W,V5Y 1K6,LOT 16  PLAN LMS2305  DISTRICT LOT ,200A  NEW WESTMINSTER UNDIV 738/207,78 SHARE IN COM PROP THEREIN.,,,516000.0,222000.0,2018.0,415000.0,225000.0,1996.0,1996.0,,13
47574,006-135-331,STRATA,163633310016,16363331,FCCDD,Comprehensive Development,16,,VAS896,F C,,675.0,MARKET HILL,V5Z 4B5,LOT 16  PLAN VAS896  DISTRICT LOT F, C  NEW WESTMINSTER UNDIV 53/1754 S,HARE IN THE COM PROP THEREIN.,,,184000.0,34400.0,2018.0,131000.0,37000.0,1978.0,1978.0,,7
180583,012-795-658,LAND,819221520000,81922152,RS-1,One Family Dwelling,22,9,VAP3534,200,,1216.0,62ND AVE E,V5X 2H3,LOT 22  BLOCK 9  PLAN VAP3534  DIST,"RICT LOT 200  NWD GROUP 1, AMD (EXP",L PL VAP3998) & BLKS 12 & 13.,,,1537000.0,386000.0,2018.0,1576000.0,384000.0,2008.0,2008.0,,17
169204,002-954-478,LAND,267704620000,26770462,RS-1,One Family Dwelling,6,8,VAP2240,741,,4230.0,BRANT ST,V5N 5B4,LOT 6  BLOCK 8  PLAN VAP2240  DISTR,ICT LOT 741  NEW WESTMINSTER,,,,1259000.0,134000.0,2018.0,1246000.0,138000.0,1989.0,1989.0,,23
81574,016-553-829,STRATA,594251530014,59425153,RM-4,Multiple Family Dwelling,14,,VAS2752,183,306,1833.0,FRANCES ST,V5L 1Z8,LOT 14  PLAN VAS2752  DISTRICT LOT ,183  NEW WESTMINSTER UNDIV 823/5437,3 SHARE IN COM PROP THEREIN.,,,430000.0,195000.0,2018.0,319000.0,198000.0,1990.0,1990.0,,14
195132,014-329-123,LAND,750236350000,75023635,RS-1,One Family Dwelling,3,2,VAP1759,709,,1635.0,41ST AVE E,V5P 1K4,LOT 3  BLOCK 2  PLAN VAP1759  DISTR,"ICT LOT 709  NWD GROUP 1, AMD (SEE ",340306L).,,,1248000.0,35600.0,2018.0,1229000.0,36400.0,1946.0,1946.0,,19
178453,025-986-082,STRATA,138616070053,13861607,CD-1 (366),Comprehensive Development,53,,BCS890,FC,1101,1495.0,RICHARDS ST,V6Z 3E3,LOT 53  PLAN BCS890  DISTRICT LOT F,C  NWD TOGETHER WITH AN INTEREST IN, THE COMMON PROPERTY IN PROPORTION ,TO THE UNIT ENTITLEMENT OF THE STRA,"TA LOT AS SHOWN ON FORM 1 OR V, AS ",576000.0,247000.0,2018.0,487000.0,249000.0,2004.0,2004.0,,30
69531,007-522-541,LAND,825153050000,82515305,RS-1,One Family Dwelling,A,B,16198,323,,8138.0,LAUREL ST,V6P 3V1,LOT A  BLOCK B  PLAN 16198  DISTRIC,T LOT 323  NWD OF LOT 22.,,,,2533000.0,98800.0,2018.0,2434000.0,98700.0,1976.0,1976.0,,12
74873,027-303-454,STRATA,161599060156,16159906,CD-1 (415),Comprehensive Development,156,,BCS2611,FC,2506,602.0,CITADEL PARADE,V6B 1X2,LOT 156  PLAN BCS2611  DISTRICT LOT, FC  NEW WESTMINSTER TOGETHER WITH ,AN INTEREST IN THE COMMON PROPERTY ,IN PROPORTION TO THE UNIT ENTITLEME,NT OF THE STRATA LOT AS SHOWN ON FO,607000.0,206000.0,2018.0,508000.0,206000.0,2007.0,2007.0,,26
149248,014-348-551,LAND,832135940000,83213594,RM-3A,Multiple Family Dwelling,6,10,VAP1749,318,,8707.0,MONTCALM ST,V6P 4R1,LOT 6  BLOCK 10  PLAN VAP1749  DIST,RICT LOT 318  NWD & LOT 7.,,,,6121000.0,33500.0,2018.0,5450000.0,33500.0,1957.0,1957.0,,12
83180,029-849-411,STRATA,138600890361,13860089,CD-1 (525),Comprehensive Development,361,54,EPS3242,541,4108,777.0,RICHARDS ST,V6B 0M6,LOT 361  BLOCK 54  PLAN EPS3242  DI,"STRICT LOT 541  NWD GROUP 1, TOGETH",ER WITH AN INTEREST IN THE COMMON P,ROPERTY IN PROPORTION TO THE UNIT E,NTITLEMENT OF THE STRATA LOT AS SHO,889000.0,441000.0,2018.0,706000.0,441000.0,,,,26
179190,004-671-180,STRATA,606118550021,60611855,RM-5B,Multiple Family Dwelling,21,,VAS1691,185,305,1147.0,NELSON ST,V6E 1J3,LOT 21  PLAN VAS1691  DISTRICT LOT ,185  NEW WESTMINSTER UNDIV 908/2652,7 SHARE IN COM PROP THEREIN.,,,668000.0,190000.0,2018.0,599000.0,164000.0,1986.0,1986.0,,27
169332,024-753-718,STRATA,718308020128,71830802,CD-1 (314),Comprehensive Development,128,,LMS4140,36,810,3528.0,VANNESS AVE,V5R 6G4,LOT 128  PLAN LMS4140  DISTRICT LOT, 36  NEW WESTMINSTER UNDIV 714/1467,53 SHARE IN COM PROP THEREIN.,,,203000.0,202000.0,2018.0,143000.0,204000.0,2000.0,2000.0,,23
152595,018-372-911,STRATA,648163040022,64816304,C-3A,Commercial,22,,LMS1005,526,PH2,2438.0,HEATHER ST,V5Z 3H9,LOT 22  PLAN LMS1005  DISTRICT LOT ,526  NEW WESTMINSTER UNIV 1150/2328,3 SHARE IN COM PROP THEREIN.,,,790000.0,417000.0,2018.0,669000.0,417000.0,1993.0,1993.0,,7
49823,014-178-125,LAND,670095560000,67009556,RT-8,Two Family Dwelling,6,406,VAP1949,526,,1946.0,12TH AVE W,V6J 2E9,LOT 6  BLOCK 406  PLAN VAP1949  DIS,TRICT LOT 526  NEW WESTMINSTER,,,,2793000.0,583000.0,2018.0,2579000.0,596000.0,1912.0,1990.0,,2
145586,028-339-037,STRATA,598190450070,59819045,HA-1A,Historic Area,70,,BCS3944,196,511,221.0,UNION ST,V6A 0B4,LOT 70  PLAN BCS3944  DISTRICT LOT ,"196  NWD GROUP 1, TOGETHER WITH AN ",INTEREST IN THE COMMON PROPERTY IN ,PROPORTION TO THE UNIT ENTITLEMENT ,OF THE STRATA LOT AS SHOWN ON FORM ,449000.0,174000.0,2018.0,366000.0,175000.0,2010.0,2010.0,,26
42860,006-480-870,STRATA,576267090008,57626709,RM-3A,Multiple Family Dwelling,8,,VAS1410,184,206,224.0,GARDEN DR N,V5L 3E7,LOT 8  PLAN VAS1410  DISTRICT LOT 1,84  NEW WESTMINSTER UNDIV 60/1295 S,HARE IN COM PROP THEREIN.,,,293000.0,126000.0,2018.0,242000.0,118000.0,1984.0,1984.0,,14
46912,006-883-028,LAND,694274690000,69427469,RS-1,One Family Dwelling,21,D,VAP11660,THSL,,2665.0,20TH AVE E,V5M 2T7,LOT 21  BLOCK D  SECTION 45  PLAN V,AP11660  DISTRICT LOT THSL  NEW WES,TMINSTER,,,1494000.0,30400.0,2018.0,1509000.0,30400.0,1948.0,1948.0,,22
11036,029-117-011,STRATA,643120040081,64312004,C-3A,Commercial,81,,EPS808,526,224,1777.0,7TH AVE W,V6J 0E5,LOT 81  PLAN EPS808  DISTRICT LOT 5,"26  NWD GROUP 1, TOGETHER WITH AN I",NTEREST IN THE COMMON PROPERTY IN P,ROPORTION TO THE UNIT ENTITLEMENT O,F THE STRATA LOT AS SHOWN ON FORM 1,486000.0,185000.0,2018.0,392000.0,186000.0,2013.0,2013.0,,7
73998,011-251-611,LAND,692194010000,69219401,RS-1,One Family Dwelling,B,74,VAP5112,301,,301.0,18TH AVE E,V5V 1E7,LOT B  BLOCK 74  PLAN VAP5112  DIST,RICT LOT 301  NEW WESTMINSTER SUBSI,DY LOT 15 & 16.,,,1305000.0,434000.0,2018.0,1305000.0,431000.0,1910.0,2006.0,,15
174474,014-702-428,STRATA,648037040018,64803704,RM-4,Multiple Family Dwelling,18,,VAS2474,176,206,3788.0,8TH AVE W,V6R 1Z3,LOT 18  PLAN VAS2474  DISTRICT LOT ,176  NEW WESTMINSTER UNDIV 91/3583 ,SHARE IN COM PROP THEREIN.,,,681000.0,193000.0,2018.0,582000.0,195000.0,1989.0,1989.0,,1
192975,027-789-420,STRATA,670087980012,67008798,C-8,Commercial,12,,BCS3272,526,304,2108.0,12TH AVE W,V6K 2N2,LOT 12  PLAN BCS3272  DISTRICT LOT ,"526  NWD GROUP 1, TOGETHER WITH AN ",INTEREST IN THE COMMON PROPERTY IN ,PROPORTION TO THE UNIT ENTITLEMENT ,OF THE STRATA LOT AS SHOWN ON FORM ,736000.0,256000.0,2018.0,595000.0,258000.0,2009.0,2009.0,,2
72045,004-358-848,LAND,741197430000,74119743,RS-1,One Family Dwelling,40,5,VAP1902,636,,453.0,38TH AVE E,V5W 1H8,LOT 40  BLOCK 5  PLAN VAP1902  DIST,RICT LOT 636  NWD GROUP 1.,,,,1529000.0,53900.0,2018.0,1605000.0,56400.0,1949.0,1985.0,,16
62542,024-523-224,STRATA,612157030343,61215703,CD-1 (324),Comprehensive Development,343,,LMS3903,,2905,198.0,AQUARIUS MEWS,V6Z 2Y4,LOT 343  PLAN LMS3903  NEW WESTMINS,"TER DISTRICT LOT FALSE CREEK, UNDIV", 22/19892 SHARE IN COM PROP THEREIN,.,,580000.0,165000.0,2018.0,482000.0,167000.0,1999.0,1999.0,,30
154234,029-957-168,STRATA,600118510135,60011851,CD-1 (446),Comprehensive Development,135,,EPS2884,185,4806,1151.0,GEORGIA ST W,V6E 0B3,LOT 135  PLAN EPS2884  DISTRICT LOT," 185  NWD GROUP 1, TOGETHER WITH AN", INTEREST IN THE COMMON PROPERTY IN, PROPORTION TO THE UNIT ENTITLEMENT, OF THE STRATA LOT AS SHOWN ON FORM,2787000.0,863000.0,2018.0,2615000.0,863000.0,,,,26
186446,003-628-205,STRATA,664122580004,66412258,RM-3,Multiple Family Dwelling,4,,VAS181,526,103,1640.0,11TH AVE W,V6J 2B9,LOT 4  PLAN VAS181  DISTRICT LOT 52,6  NEW WESTMINSTER UNDIV 998/16150 ,SHARE IN COM PROP THEREIN.,,,532000.0,91600.0,2018.0,436000.0,99100.0,1975.0,1975.0,,7
188850,009-053-115,LAND,693277150000,69327715,RS-1,One Family Dwelling,23,L,VAP11691,THSL,,2815.0,19TH AVE E,V5M 2S6,LOT 23  BLOCK L  SECTION 44  PLAN V,AP11691  DISTRICT LOT THSL  NEW WES,TMINSTER,,,1466000.0,64300.0,2018.0,1481000.0,67200.0,1965.0,1965.0,,22
603,007-812-060,LAND,730148740000,73014874,RS-5,One Family Dwelling,6,835,5956,526,,1010.0,33RD AVE W,V6M 1A2,LOT 6  BLOCK 835  PLAN 5956  DISTRI,CT LOT 526  NEW WESTMINSTER,,,,2790000.0,424000.0,2018.0,2881000.0,434000.0,1988.0,1988.0,,8
100998,015-123-561,STRATA,606109680024,60610968,RM-5B,Multiple Family Dwelling,24,69,VAS2526,185,704,1838.0,NELSON ST,V6G 1N1,LOT 24  BLOCK 69  PLAN VAS2526  DIS,TRICT LOT 185  NEW WESTMINSTER UNDI,V 209/10000 SHARE IN COMM PROP THER,EIN.,,383000.0,203000.0,2018.0,317000.0,206000.0,1989.0,1989.0,,27
8385,003-449-319,STRATA,609110950043,60911095,RM-5A,Multiple Family Dwelling,43,,VAS133,185,806,1725.0,PENDRELL ST,V6G 2X7,LOT 43  PLAN VAS133  DISTRICT LOT 1,85  NEW WESTMINSTER UNDIV 883 /1000,00 SHARE IN COM PROP THERE.,,,423000.0,124000.0,2018.0,360000.0,128000.0,1974.0,1974.0,,27
162618,019-035-977,LAND,246721330000,24672133,RS-1,One Family Dwelling,B,13,LMP19694,352,,4589.0,BEATRICE ST,V5N 4J1,LOT B  BLOCK 13  PLAN LMP19694  DIS,TRICT LOT 352  NEW WESTMINSTER,,,,1299000.0,249000.0,2018.0,1359000.0,228000.0,1995.0,1995.0,,19
35895,018-118-194,STRATA,156602960058,15660296,DD,Comprehensive Development,58,,LMS740,541,801,888.0,HAMILTON ST,V6B 5W4,LOT 58  PLAN LMS740  DISTRICT LOT 5,41  NEW WESTMINSTER UNDIV 896/14117,3 SHARE IN COM PROP THEREIN.,,,408000.0,295000.0,2018.0,346000.0,296000.0,1993.0,1993.0,,29
45711,012-939-544,LAND,731040760000,73104076,RS-5,One Family Dwelling,45,43,VAP3405,2027,,3522.0,34TH AVE W,V6N 2K8,LOT 45  BLOCK 43  PLAN VAP3405  DIS,TRICT LOT 2027  NWD GROUP 1.,,,,3516000.0,50900.0,2018.0,3611000.0,53400.0,1925.0,1968.0,,3
65177,009-046-810,LAND,825156660000,82515666,RS-1,One Family Dwelling,4,A,VAP11557,,1,728.0,66TH AVE W,V6P 2R5,LOT 4  BLOCK A  PLAN VAP11557  NEW ,WESTMINSTER DISTRICT LOT 311 & 323.,,,,2568000.0,1430000.0,2018.0,2463000.0,893000.0,1964.0,1964.0,,12
85104,011-039-680,LAND,190757420000,19075742,RT-2,Two Family Dwelling,4,3,VAP5937,644,,6042.0,MAIN ST,V5W 2T5,LOT 4  BLOCK 3  PLAN VAP5937  DISTR,ICT LOT 644  NEW WESTMINSTER,,,,1180000.0,31800.0,2018.0,1192000.0,32600.0,1948.0,1960.0,,16
134680,023-841-435,STRATA,670087090082,67008709,CD-1 (326),Comprehensive Development,82,,LMS2891,526,305,2161.0,12TH AVE W,V6K 4S7,LOT 82  PLAN LMS2891  DISTRICT LOT ,526  NEW WESTMINSTER UNDIV 1152/889,30 SHARE IN COM PROP THEREIN.,,,909000.0,197000.0,2018.0,739000.0,200000.0,1997.0,1997.0,,2
184376,026-151-499,STRATA,618138350028,61813835,CD-1 (366),Comprehensive Development,28,,BCS1099,FC,701,455.0,BEACH CRES,V6Z 3E5,LOT 28  PLAN BCS1099  DISTRICT LOT ,FC  NWD TOGETHER WITH AN INTEREST I,N THE COMMON PROPERTY IN PROPORTION, TO THE UNIT ENTITLEMENT OF THE STR,"ATA LOT AS SHOWN ON FORM 1 OR V, AS",513000.0,315000.0,2018.0,470000.0,316000.0,2005.0,2005.0,,30
76600,011-068-141,LAND,644171560000,64417156,I-1,Light Industrial,5,13,VAP5832,302,,336.0,5TH AVE W,V5Y 1J5,LOT 5  BLOCK 13  PLAN VAP5832  DIST,RICT LOT 302  NEW WESTMINSTER,,,,4880000.0,5200.0,2018.0,3904000.0,5200.0,1972.0,1973.0,,13
152236,028-048-989,STRATA,690150740012,69015074,RM-4,Multiple Family Dwelling,12,,BCS3609,472,305,930.0,16TH AVE W,V5Z 1T2,LOT 12  PLAN BCS3609  DISTRICT LOT ,"472  NWD GROUP 1, TOGETHER WITH AN ",INTEREST IN THE COMMON PROPERTY IN ,PROPORTION TO THE UNIT ENTITLEMENT ,OF THE STRATA LOT AS SHOWN ON FORM ,513000.0,104000.0,2018.0,431000.0,105000.0,2009.0,2009.0,,9
177164,023-565-900,STRATA,770191030082,77019103,C-3A,Commercial,82,,LMS2563,200A,608,288.0,8TH AVE E,V5T 4S8,LOT 82  PLAN LMS2563  DISTRICT LOT ,200A  NEW WESTMINSTER UNDIV 780/730,06 SHARE IN COM PROP THEREIN.,,,490000.0,231000.0,2018.0,390000.0,234000.0,1996.0,1996.0,,13
